line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
182-1. HD MI - Lump Sum,971-42042-4400-7000,66000000.00,"SECTION 1. THE SUM OF $66,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY, IS APPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR GRANTS TO LOCAL GOVERNMENTS, SCHOOL DISTRICTS AND COMMUNITY BASED PROVIDERS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS, AND FOR ANY OTHER PURPOSES AUTHORIZED IN SUBSECTION (A) OF SECTION 4 OF THE BUILD ILLINOIS BOND ACT.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
182-5. HD MI - Lump Sum,971-42042-4400-7199,134000000.00,"SECTION 5. THE SUM OF $134,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY, IS APPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR THE PURPOSE OF MAKING GRANTS AND LOANS TO FOSTER ECONOMIC DEVELOPMENT AND INCREASE EMPLOYMENT AND THE WELL-BEING OF THE CITIZENS OF ILLINOIS, AND FOR ANY OTHER PURPOSES AUTHORIZED IN SUBSECTION (B) OF SECTION 4 OF THE BUILD ILLINOIS BOND ACT AND FOR GRANTS TO STATE AGENCIES FOR SUCH PURPOSES, INCLUDING PRIOR INCURRED COSTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
183-1. SD MI - Lump Sum,971-42042-4400-7200,66000000.00,"SECTION 1. THE SUM OF $66,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY, IS APPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR GRANTS TO LOCAL GOVERNMENTS, SCHOOL DISTRICTS AND COMMUNITY BASED PROVIDERS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS, AND FOR ANY OTHER PURPOSES AUTHORIZED IN SUBSECTION (A) OF SECTION 4 OF THE BUILD ILLINOIS BOND ACT.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
183-5. SD MI - Lump Sum,971-42042-4400-7399,134000000.00,"SECTION 5. THE SUM OF $134,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY, IS APPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR THE PURPOSE OF MAKING GRANTS AND LOANS TO FOSTER ECONOMIC DEVELOPMENT AND INCREASE EMPLOYMENT AND THE WELL-BEING OF THE CITIZENS OF ILLINOIS, AND FOR ANY OTHER PURPOSES AUTHORIZED IN SUBSECTION (B) OF SECTION 4 OF THE BUILD ILLINOIS BOND ACT AND FOR GRANTS TO STATE AGENCIES FOR SUCH PURPOSES, INCLUDING PRIOR INCURRED COSTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
169-300. City of Belvidere - Kishwaukee Riverfront,971-42042-4900-1119,2.00,"SECTION 300. THE SUM OF $2, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM AN APPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 177, SECTION 300 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF BELVIDERE FOR ALL COSTS ASSOCIATED WITH TRANSPORTATION ENHANCEMENT FOR THE CONSTRUCTION OF EXTENDING THE KISHWAUKEE RIVERFRONT MULTI-USE PATH AND LANDSCAPING IN THE DOWNTOWN WAREHOUSE DISTRICT.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-5. Uptown Theatre,971-42042-4900-1219,10000000.00,"SECTION 5. THE SUM OF $10,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 5 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY A GRANT TO THE UPTOWN THEATRE FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS, INCLUDING PRIOR INCURRED COSTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-915. Puerto Rican Cultural Center,971-42042-4900-1419,140000.00,"SECTION 915. THE SUM OF $140,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 915 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO PUERTO RICAN CULTURAL CENTER FOR COSTS ASSOCIATED WITH RENOVATIONS TO THE VIDA SIDA HOUSING UNIT.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-945. Village of Willow Springs,971-42042-4900-1519,150000.00,"SECTION 945. THE SUM OF $150,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 945 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF WILLOW SPRINGS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-2035. City of Chicago - 23rd Ward Street Lighting,971-42042-4900-1819,250000.00,"SECTION 2035. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 2035 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CHICAGO FOR COSTS ASSOCIATED WITH THE PURCHASE AND INSTALLATION OF STREET LIGHTING WITHIN THE 23RD WARD.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-2040. North Berwyn Park District,971-42042-4900-1919,200000.00,"SECTION 2040. THE SUM OF $200,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 2040 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE NORTH BERWYN PARK DISTRICT FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS AT PARKS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-2450. Chicago Board of Education - Kenwood Academy,971-42042-4900-2019,250000.00,"SECTION 2450. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 2450 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO BOARD OF EDUCATION FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS TO KENWOOD ACADEMY.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
176-260. Edward G. Irvin Foundation - Facility Renovation,971-42042-4900-2119,1.00,"SECTION 260. THE SUM OF $1, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 184, SECTION 52 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE EDWARD G. IRVIN FOUNDATION FOR COSTS ASSOCIATED WITH ACQUISITION AND RENOVATION OF A FACILITY.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-2925. Access Community Health Network,971-42042-4900-2219,60000.00,"SECTION 2925. THE SUM OF $60,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 2925 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE ACCESS COMMUNITY HEALTH NETWORK FOR COSTS ASSOCIATED WITH RENOVATIONS AND REPAIRS TO THE ACCESS MELROSE PARK FAMILY HEALTH CENTER LOCATED AT 8321 WEST NORTH AVENUE IN MELROSE PARK.",line_item,8321 WEST NORTH AVENUE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-3010. Chicago Park District - Harris Memorial Park,971-42042-4900-2319,350000.00,"SECTION 3010. THE SUM OF $350,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 3010 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO PARK DISTRICT FOR COSTS ASSOCIATED WITH CONSTRUCTION OF A FIELD HOUSE AT HARRIS MEMORIAL PARK.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-3031. Pleasant Dale Park District,971-42042-4900-2419,50000.00,"SECTION 3031. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 3031 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE PLEASANT DALE PARK DISTRICT FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4175. City of Country Club Hills,971-42042-4900-2519,50000.00,"SECTION 4175. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4175 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF COUNTRY CLUB HILLS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4860. Village of Villa Park,971-42042-4900-2619,25000.00,"SECTION 4860. THE SUM OF $25,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4860 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF VILLA PARK FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4865. Village of Carol Stream,971-42042-4900-2719,25000.00,"SECTION 4865. THE SUM OF $25,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4865 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF CAROL STREAM FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4870. Village of Bartlett,971-42042-4900-2819,25000.00,"SECTION 4870. THE SUM OF $25,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4870 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF BARTLETT FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4875. Village of Glendale Heights,971-42042-4900-2919,25000.00,"SECTION 4875. THE SUM OF $25,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4875 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF GLENDALE HEIGHTS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4880. Chicago Park District - Broncho Billy Playlot Park,971-42042-4900-3019,100000.00,"SECTION 4880. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4880 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO PARK DISTRICT FOR COSTS ASSOCIATED WITH RENOVATIONS AND IMPROVEMENTS AT BRONCHO BILLY PLAYLOT PARK.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4885. City of Chicago - Lake Shore Drive Viaduct,971-42042-4900-3119,150000.00,"SECTION 4885. THE SUM OF $150,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4885 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF CHICAGO FOR COSTS ASSOCIATED WITH REPAIRS TO THE VIADUCT AT LAKE SHORE DRIVE AND LAWRENCE AVENUE.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4890. Black Start Project,971-42042-4900-3219,1.00,"Section 4890. The sum of $76,934 $1, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from an appropriation heretofore made for such purpose in Article 180, Section 4890 of Public Act 103-0589, as amended, is reappropriated from the Build Illinois Bond Fund to the Department of Commerce and Economic Opportunity for a grant to the Black Start Project for costs associated with infrastructure improvements to the facility.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4900. Boys and Girls Club of Springfield,971-42042-4900-3419,35000.00,"SECTION 4900. THE SUM OF $35,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4900 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE BOYS AND GIRLS CLUB OF SPRINGFIELD FOR COSTS ASSOCIATED WITH BUILDING AND INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4905. Decatur Park District,971-42042-4900-3519,50000.00,"SECTION 4905. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4905 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE DECATUR PARK DISTRICT FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4910. City of Bunker Hill - Mae Meissner- Whitaker Park,971-42042-4900-3619,100000.00,"SECTION 4910. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4910 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF BUNKER HILL FOR COSTS ASSOCIATED WITH HANDICAP ACCESSIBLE RESTROOMS AND IMPROVEMENTS AT MAE MEISSNER-WHITAKER PARK.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4920. City of Benld,971-42042-4900-3819,50000.00,"SECTION 4920. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4920 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF BENLD FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4925. Village of Sawyerville,971-42042-4900-3919,50000.00,"SECTION 4925. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4925 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF SAWYERVILLE FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4930. City of Gillespie,971-42042-4900-4019,65000.00,"SECTION 4930. THE SUM OF $65,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4930 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF GILLESPIE FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4935. Village of Wilsonville,971-42042-4900-4119,10000.00,"SECTION 4935. THE SUM OF $10,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4935 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF WILSONVILLE FOR COSTS ASSOCIATED WITH PARK IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
172-4940. Village of Royal Lakes,971-42042-4900-4219,10000.00,"SECTION 4940. THE SUM OF $10,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 180, SECTION 4940 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF ROYAL LAKES FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
